sample_id,x1,x2,f_corr,f_noise
0,-2.7104698604579696,4.9971065226710465,-1.0157033678831242,0.7185081007784466
1,8.730237849343382,-8.787416403417351,3.9530633013588345,-1.105348537942658
2,-1.0795998244005531,-2.5587084655163927,0.9766284808634167,-3.6057756083437624
3,6.854041592508725,1.560180726832412,1.760613726049159,-1.2309460106298769
4,9.963811728178502,-8.869921108963014,2.966583319384446,0.9158985855583034
5,-3.7423278044925485,1.0645780165285785,-0.2860815394916715,-0.28474438375637373
6,-5.61029249776557,9.36626985297491,-2.713613356070844,-0.12937913597708522
7,3.8754646383087312,2.1401820445255133,0.7224380380318051,-0.269551257741463
8,-7.267611750138365,5.822121795281575,-2.9623507467746912,-1.2370943476068228
9,9.415677990379155,6.0381694522240394,3.124603326488566,-0.14065280204237401
10,1.3122056875231785,3.685621829493339,-0.07913114916537767,-2.0191125717494036
11,0.6563831637649429,-9.25819265030821,2.8008886763794902,0.24750593898305875
12,7.424566556579595,-5.323830280586213,3.4032791449157607,0.39122149977750126
13,-3.7297672045271346,8.30910537118865,-2.6555644081655645,3.494997301538646
14,4.957218237747874,1.007375363203158,0.2882659758938584,-1.9206059898722763
15,-4.915703868078394,6.469957859264728,-2.3721075869572834,1.8345440875116046
16,0.6879907145670572,0.9209285874498043,1.1195665346416253,2.117743888607937
17,-6.20325452185345,-1.2162324571527918,-2.1333395481567745,-0.6255770806804948
18,-2.862802824268811,-4.127705658432395,0.053577922874076644,-1.6673980101013988
19,-0.5297622831558986,6.816986072387849,0.04656844167834895,3.341086620995299
20,-3.675151828177774,-5.081275428815388,-1.7586445310851238,-3.2516948134984713
21,7.644056344852892,5.456508992572475,1.7927841170958903,-2.0323557107985986
22,1.309356780481492,3.601168033665809,0.2958687556745786,-2.6802635625461106
23,-8.306721396364052,4.763494721697679,-2.921670190161108,-1.688958251830595
24,7.822963311147227,-0.5386959810338947,1.0645378164102743,-0.5891280213574742
25,6.836991167158914,1.3871172880918454,1.2356210470029958,3.708359635018094
26,-9.27861399515401,-9.741538475348046,-2.991016137304821,-1.0529003945135065
27,-7.466387429277721,9.280882998208735,-4.686181340514086,5.25850823523875
28,9.137009892349127,-9.167010832146968,4.791116884933528,2.2509430527876635
