sample_id,f01,f02,f03,f04,f05,f06,f07,f08
0,-0.5366470699040289,-69.81289995072989,-0.0026566887389826302,71.7431467863672,-11.396498025503144,-12.291287276852488,-6.836847459292504,-0.5040938861775168
1,15.230730812276384,52.72721555881414,-1.2736342861401906,-104.12330219099844,11.589642558378431,34.31696695767763,-49.46887294147437,0.3903556726948207
2,18.54269341984114,77.31714976207188,-1.321685517872383,-111.94663633416296,10.25434630053774,25.89295118882639,44.595250272206535,0.32589256098311703
3,-12.53890492033405,-41.709458241092065,0.1464744650697561,16.322123640294677,1.391136898454915,2.014316421657333,-39.930582437321654,0.13929679384003188
4,-6.903056208274785,61.833444394771064,-0.022466091531683417,-42.631335174551594,3.1071537711790476,-5.4710542526976225,7.001148548443693,0.13121315803740777
5,-9.155107858036335,80.8039581668619,-0.02306425978679473,-42.56239141752238,2.6819992320695927,-10.45021644041372,52.28572667689139,0.13415732926480936
6,-13.41419756564179,-45.22445908630171,0.01634301744892756,23.19864873945267,0.27534243198813224,4.845267190861594,40.73481378431369,0.04054744169333488
7,-15.303930991640959,-39.53906053607912,0.198037582012657,21.117504133614823,0.3343503594300092,1.3085740738798468,17.347163921399048,0.37877293550312424
8,-15.15466786086164,-34.099503330102024,0.21504933556548012,18.059247118160595,1.937554503894054,2.8347706488245,-87.42934919134,-0.19180272981438082
9,0.6734756977045263,-82.96650609750967,-0.06694148824491324,70.08299605791989,-11.262308551500256,-7.2212891291544725,-28.22235925756773,-0.3833267089460052
10,-8.228217617579833,61.84838852669155,0.030584309305783028,18.847691210178013,-4.891549376216236,-8.531159902587405,-16.508535073601024,0.8969647867406376
11,-10.648843000180896,90.58991469491127,0.11087356391012615,-45.385104693446465,3.2690176996736637,-9.704127761471584,-51.94986694159459,0.5809670127548885
12,1.0878603826027697,-74.09800157165569,-0.06258227530501025,65.80716894967749,-10.551957999456594,-9.934035227199248,-100.9721862969483,-0.20093101799146493
13,-6.202333932618637,74.20419159385467,-0.0354332282053107,12.601585486408005,-4.487768661175348,-9.466719349148654,9.765183906300335,0.3517333988155669
14,1.1890224651364985,-79.35568577746706,-0.08441622981353186,61.558013861295365,-10.054139918700539,-7.117863842244784,42.6735947875713,0.47600834111995516
15,-7.149873393708697,57.03687460971228,-0.0378982023726757,-41.97171697579719,2.9537843004962916,-6.720467394102654,-20.923504334906255,-0.2774110755987403
16,-12.927620527762175,-32.218420731825304,0.15313266627538186,16.832799882845663,1.346779645442182,2.852078559796474,51.47855287542923,-0.11478259492896895
17,-9.548434186486322,57.91229289780122,-0.1194611020075485,20.705400987830316,-3.7436059426600914,-4.75750616272538,-76.54117940027531,-0.6799723284020884
18,-5.272637095988522,50.75972657978078,0.02948678906421756,15.76448313856382,-4.743120269064119,-11.767160045195387,-55.16713716009668,0.29829644643225844
19,16.77747025152695,33.216537164558886,-1.1546435641661712,-93.05008916204389,9.742051347822194,28.0297818470036,8.545544164233915,0.41429121244066097
20,-7.6163159849090665,79.28661108377696,-0.08061291065551045,-48.54156042424321,4.1209450489575605,-5.619282944843854,-25.635158780192057,0.09512381464602854
21,-10.015392859640373,88.46740215941924,0.22333298253216843,15.907131268536697,-4.734316273383367,-13.762424966703238,37.5354236380402,-0.18560792383214306
